,breadscrum,cod_item,cod_item_pai,nome,situacao,sigiloso,assunto_secundario,crime_antecedente,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
459,287:3415:5564,5564,3415,Furto Privilegiado,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
460,287:3415:5565,5565,3415,Furto de Veículo Automotor a ser Transportado para outro Estado ou Exterior,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
461,287:3415:5566,5566,3415,Roubo Majorado,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
462,287:3415:5567,5567,3415,Latrocínio,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
463,287:3415:5568,5568,3415,Extorsão mediante Seqüestro Seguida de Morte,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
464,287:3415:5569,5569,3415,Extorsão mediante Sequestro Seguida de Lesão Corporal Grave,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
465,287:3415:5570,5570,3415,Supressão ou Alteração de Marca em Animais,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
466,287:3415:5571,5571,3415,Dano Qualificado,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
467,287:3415:5572,5572,3415,Apropriação de Tesouro,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
468,287:3415:5573,5573,3415,Apropriação de Coisa Achada,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
469,1146:7784:5575,5575,7784,Abandono,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
470,1146:7784:5577,5577,7784,Acidentes da Navegação,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
471,1146:5585,5585,1146,Registro / Cadastro do Armador,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
472,1146:7784:5589,5589,7784,Arresto de Embarcação,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
473,1146:7784:5591,5591,7784,Assistência / Salvamento,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
474,1146:7784:5592,5592,7784,Avaria,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
475,1146:5595,5595,1146,Responsabilidade do Comandante ou Capitão,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
476,1146:5603,5603,1146,Inscrição / Registro da Embarcação,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
477,1146:7783:5609,5609,7783,Hipoteca Marítima,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
478,1146:7783:5612,5612,7783,Créditos / Privilégios Marítimos,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
479,1146:5621,5621,1146,Serviços Auxiliares da Navegação,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
480,1146:5621:5622,5622,5621,Agenciamento,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
481,1146:5621:5623,5623,5621,Corretagem de Embarcação,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
482,1146:5621:5624,5624,5621,Praticagem,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
483,899:5626,5626,899,Família,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
484,899:7947:5632,5632,7947,Prescrição e Decadência,A,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,S,S,N,N,N
485,899:7681:9580:5680,5680,9580,Edição,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
486,899:9616:5724,5724,9616,Sociedade ,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
487,899:5754,5754,899,Pessoas naturais,A,N,N,N,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,S,S,N,N,N
488,899:5626:5779,5779,5626,Alimentos,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
489,899:5626:5779:5787,5787,5779,Exoneração,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
490,899:5626:5779:5788,5788,5779,Revisão,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
491,899:5626:10577:5801,5801,10577,Busca e Apreensão de Menores,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
492,899:5626:10577:5802,5802,10577,Guarda,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
493,899:5626:10577:5804,5804,10577,Investigação de Paternidade,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
494,899:5626:10577:5805,5805,10577,Regulamentação de Visitas,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
495,899:5626:5808,5808,5626,Casamento,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
496,899:5626:5808:5813,5813,5808,Nulidade / Anulação,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
497,899:7673:5825,5825,7673,Nulidade e Anulação de Testamento,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
498,899:7673:5829,5829,7673,Nulidade e Anulação de Partilha e Adjudicação de Herança,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
499,899:7673:5831,5831,7673,Sub-rogação de Vinculo,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
500,899:7673:5832,5832,7673,Exclusão de herdeiro ou legatário,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
501,899:7673:5833,5833,7673,Petição de Herança,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
502,899:7673:5834,5834,7673,Deserdação,A,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
503,287:3415:5835,5835,3415,Disposição de coisa alheia como própria,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
504,287:3415:5836,5836,3415,Alienação ou Oneração Fraudulenta de Coisa Própria,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
505,287:3415:5837,5837,3415,Defraudação de Penhor,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
506,287:3415:5838,5838,3415,Fraude na Entrega de Coisa,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
507,287:3415:5839,5839,3415,Fraude para Recebimento de Indenização ou Valor de Seguro,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
508,287:3415:5840,5840,3415,Fraude no Pagamento por Meio de Cheque,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
509,287:3415:5841,5841,3415,Duplicata Simulada,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
510,287:3415:5842,5842,3415,Abuso de Incapazes,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
511,287:3415:5843,5843,3415,Induzimento à Especulação,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
512,287:3415:5844,5844,3415,Fraude no Comércio,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
513,287:3415:5845,5845,3415,Fraudes e Abusos na Fundação ou Administração de Sociedade por Ações,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
514,287:3415:5846,5846,3415,Emissão Irregular de Conhecimento de Depósito ou &quot;Warrant&quot;,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
515,287:3415:5847,5847,3415,Receptação Qualificada,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
516,287:3463:5850,5850,3463,Posse Sexual Mediante Fraude,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
517,287:3463:5851,5851,3463,Assédio Sexual,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
518,287:3463:5852,5852,3463,Favorecimento da Prostituição,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
519,287:3463:5853,5853,3463,Casa de Prostituição,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
520,287:3463:5854,5854,3463,Rufianismo,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
521,287:3463:5855,5855,3463,Tráfico Internacional de Pessoas,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
522,287:3463:5856,5856,3463,Tráfico Interno de Pessoas,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
523,287:3491:5862,5862,3491,Fabrico / Fornecimento / Aquisição / Posse ou Transporte de Explosivos ou Gás Tóxico ou Asfixiante,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
524,287:5865,5865,287,Crime Culposo,A,N,S,,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
525,287:3491:5866,5866,3491,Venda de Produtos ou Substância nas Condições dos Artigos 274 e 275 ,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
526,287:3491:5867,5867,3491,Medicamento em Desacordo com Receita Médica,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
527,287:3520:5869,5869,3520,Incitação ao Crime,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
528,287:3520:5870,5870,3520,Apologia de Crime ou Criminoso,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
529,287:5872,5872,287,Crimes Praticados por Particular Contra a Administração em Geral,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
530,287:5873,5873,287,Crimes Praticados por Particular Contra a Administração Pública Estrangeira,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
531,287:5874,5874,287,Crimes Contra a Administração da Justiça,A,N,N,,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
532,287:5875,5875,287,Crimes Contra as Finanças Públicas,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
533,287:5873:5876,5876,5873,Corrupção Ativa em Transação Comercial Internacional,A,N,N,N,N,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
534,287:5873:5877,5877,5873,Tráfico de Influência em Transação Comercial Internacional,A,N,N,N,N,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
535,287:3603:3438:5878,5878,3438,Crimes contra Patente de Invenção,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
536,287:3603:3438:5879,5879,3438,Crimes contra os Desenhos Industriais,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
537,287:3603:3438:5880,5880,3438,Crimes contra as Marcas,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
538,287:3603:3438:5881,5881,3438,"Crimes Cometidos por Meio de Marca, Título de Estabelecimento e Sinal de Propaganda ",A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
539,287:3603:3438:5882,5882,3438,Crimes contra Indicações Geeográficas e Demais Indicações,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
540,287:3603:3438:5883,5883,3438,Crimes de Concorrência Desleal,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
541,287:3603:3607:5885,5885,3607,Posse de Drogas para Consumo Pessoal,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
542,287:3603:5893,5893,3603,Crime Contra a Administração da Justiça - Lei da Ação de Alimentos ,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
543,287:3603:3607:5894,5894,3607,Fabricação de Objeto Destinado a Produção de Drogas e Condutas Afins ,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
544,287:3603:3607:5895,5895,3607,"Indução, Instigação ou Auxílio ao Uso de Drogas",A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
545,287:3603:3607:5896,5896,3607,Oferecimento de Drogas para Consumo Conjunto,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
546,287:3603:3607:5897,5897,3607,Associação para a Produção e Tráfico e Condutas Afins,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
547,287:3603:3607:5898,5898,3607,Financiamento ou Custeio de Produção ou Tráfico de Drogas,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
548,287:3603:3607:5899,5899,3607,"Colaboração com Grupo, Organização ou Associação Destinados à Produção ou Tráfico de Drogas ",A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
549,287:3603:3607:5900,5900,3607,Prescrição Culposa de Drogas,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
550,287:3603:3607:5901,5901,3607,Condução de Embarcação ou Aeronave sob Efeito de Drogas,A,N,N,N,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
551,287:5875:5903,5903,5875,Contratação de Operação de Crédito,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
552,287:5875:5904,5904,5875,Inscrição de Despesas Não Empenhadas,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
553,287:5875:5905,5905,5875,Assunção de Obrigação no Último Ano do Mandato ou Legislatura,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
554,287:5875:5906,5906,5875,Ordenação de Despesa Não Autorizada,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
555,287:5875:5907,5907,5875,Prestação de Garantia Graciosa,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
556,287:5875:5908,5908,5875,Não Cancelamento de Restos a Pagar,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
557,287:5875:5909,5909,5875,Aumento de Despesa com Pessoal no Último Ano do Mandato ou Legislatura,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
558,287:5875:5910,5910,5875,Oferta Pública ou Colocação de Títulos no Mercado,A,N,N,N,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
559,287:3388:5911,5911,3388,Perigo de Contágio Venéreo,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
560,14:5913,5913,14,Limitações ao Poder de Tributar,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
561,14:5913:5914,5914,5913,Imunidade ,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
562,14:5913:5915,5915,5913,Isenção,A,N,S,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
563,14:5916,5916,14,Impostos,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
564,14:5916:5917,5917,5916,IRPF/Imposto de Renda de Pessoa Física,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
565,14:5916:5917:5918,5918,5917,Incidência sobre PDV,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
566,14:5916:5917:5919,5919,5917,Incidência sobre Aposentadoria,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
567,14:5916:5917:5920,5920,5917,Incidência sobre Aplicações Financeiras,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
568,14:5916:5917:5921,5921,5917,Incidência sobre Licença-Prêmio/Abono/Indenização,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
569,14:5916:5917:5922,5922,5917,Retido na fonte,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
570,14:5916:5917:5923,5923,5917,Incidência sobre Férias Compensadas,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
571,14:5916:5917:5924,5924,5917,Incidência sobre Proventos de Previdência Privada,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
572,14:5916:5917:5925,5925,5917,Incidência sobre Participação nos Lucros,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
573,14:5916:5917:5926,5926,5917,Incidência sobre Lucro Imobiliário,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
574,14:5916:5917:5927,5927,5917,"Incidência sobre 1/3 de férias (art. 7º, XVII da CF)",A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
575,14:5916:5917:5928,5928,5917,Incidência sobre 13° Salário,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
576,14:5916:5917:5929,5929,5917,Incidência sobre Função Comissionada,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
577,14:5916:5917:5930,5930,5917,Incidência sobre Hora Extra,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
578,14:5916:5917:5931,5931,5917,Incidência decorrente de Desligamento de Plano de Previdência Privada,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
579,14:5916:5917:5932,5932,5917,Incidência decorrente de Liquidação de Entidade de Previdência Privada,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
580,14:5916:5933,5933,5916,IRPJ/Imposto de Renda de Pessoa Jurídica,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
581,14:5916:5933:5934,5934,5933,Microempresa,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
582,14:5916:5933:5935,5935,5933,Demonstrações Financeiras (DCTF),A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
583,14:5916:5933:5936,5936,5933,Incidência sobre Aplicações Financeiras,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
584,14:5916:5933:5937,5937,5933,Retido na fonte,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
585,14:5916:5933:5938,5938,5933,Incidência sobre Lucro,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
586,14:5916:5933:5939,5939,5933,Cooperativa,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
587,14:5916:5933:5940,5940,5933,Compensação de Prejuízos,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
588,14:5916:5941,5941,5916,II/ Imposto sobre Importação,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
589,14:5916:5941:5942,5942,5941,Importação de bens usados,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
590,14:5916:5941:5943,5943,5941,Drawback,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
591,14:5916:5944,5944,5916,IE/ Imposto sobre Exportação,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
592,14:5916:5945,5945,5916,IPI/ Imposto sobre Produtos Industrializados,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
593,14:5916:5946,5946,5916,ICMS/ Imposto sobre Circulação de Mercadorias,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
594,14:5916:5946:5947,5947,5946,ICMS/Importação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
595,14:5916:5948,5948,5916,"IOC/IOF Imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários",A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
596,14:5916:5948:5949,5949,5948,Incidência sobre Ações de Companhias Abertas,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
597,14:5916:5950,5950,5916,ITR/ Imposto Territorial Rural,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
598,14:5916:5951,5951,5916,ISS/ Imposto sobre Serviços,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
