;case: orgao_mun;14;195;287;864;899;1146;1156;1209;6191;7724;8826;9633;9985;10739;11049;11068;11428;12467;12480;12734;2;268;268:269;268:277;268:281;268:284;268:303;268:308;268:316;268:334;268:412;2:1106;2:12133;2:158;2:175;2:197;2:214;385;385:406;total;cluster;count
525;2ª VARA - SÃO JERÔNIMO - TJRS;0.412;0.0;0.059;0.0;0.426;0.0;0.0;0.044;0.0;0.015;0.029;0.0;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.044;0.015;0.0;0.0;0.0;0.044;0.0;0.441;0.0;0.456;0.0;0.0;0.0;0.0;0.0;0.004;-1;-1
526;2ª VARA - TJPI;0.072;0.004;0.036;0.004;0.184;0.0;0.008;0.017;0.0;0.004;0.392;0.03;0.15;0.0;0.002;0.034;0.061;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.066;0.006;0.0;0.0;0.013;0.0;0.0;0.426;0.0;0.383;0.087;0.002;0.015;0.0;0.0;0.031;-1;-1
527;2ª VARA - TJRN;0.236;0.009;0.195;0.001;0.227;0.0;0.044;0.021;0.0;0.002;0.16;0.001;0.102;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.023;0.005;0.0;0.052;0.11;0.007;0.018;0.002;0.0;0.019;0.0;0.285;0.0;0.457;0.003;0.0;0.003;0.015;0.0;0.134;-1;-1
528;2ª VARA - TRÊS DE MAIO - TJRS;0.137;0.123;0.041;0.0;0.37;0.0;0.123;0.0;0.0;0.0;0.178;0.0;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.041;0.0;0.0;0.0;0.027;0.014;0.0;0.0;0.0;0.0;0.0;0.63;0.0;0.274;0.0;0.0;0.014;0.0;0.0;0.005;-1;-1
529;2ª VARA - VENÂNCIO AIRES - TJRS;0.184;0.0;0.143;0.0;0.571;0.0;0.02;0.02;0.0;0.0;0.061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.041;0.0;0.0;0.0;0.143;0.0;0.0;0.0;0.0;0.02;0.0;0.429;0.0;0.367;0.0;0.0;0.0;0.0;0.0;0.003;-1;-1
530;2ª VARA AGUA BOA - TJMT;0.0;0.032;0.065;0.0;0.871;0.0;0.0;0.0;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.258;0.0;0.645;0.032;0.0;0.0;0.0;0.0;0.002;-1;-1
531;2ª VARA CIVEL - TJRO;0.232;0.118;0.0;0.002;0.382;0.0;0.077;0.0;0.0;0.0;0.128;0.003;0.049;0.0;0.0;0.0;0.0;0.0;0.0;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.539;0.0;0.438;0.01;0.0;0.011;0.0;0.0;0.133;-1;-1
532;2ª VARA CIVEL DA COMARCA DE FORTALEZA - TJCE;0.0;0.0;0.0;0.0;0.66;0.0;0.033;0.0;0.0;0.0;0.301;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.139;0.0;0.847;0.01;0.0;0.005;0.0;0.0;0.014;-1;-1
533;2ª VARA CIVEL E COMERCIAL - TJBA;0.0;0.0;0.0;0.0;0.628;0.0;0.283;0.0;0.0;0.0;0.08;0.0;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.044;0.0;0.0;0.549;0.0;0.345;0.018;0.0;0.044;0.0;0.0;0.007;-1;-1
534;2ª VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES TRIB JURI E CRIMES EM GERAL) - TJGO;0.0;0.0;0.819;0.0;0.009;0.0;0.0;0.069;0.0;0.0;0.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009;0.0;0.5;0.379;0.0;0.052;0.026;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;-1;-1
535;2ª VARA CRIMINAL (CRIMES EM GERAL E PRECATÓRIAS CRIMINAIS) - TJGO;0.0;0.0;0.574;0.0;0.012;0.0;0.0;0.354;0.0;0.0;0.002;0.03;0.026;0.0;0.0;0.003;0.0;0.0;0.0;0.0;0.0;0.008;0.0;0.251;0.615;0.002;0.039;0.043;0.005;0.037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.101;-1;-1
536;2ª VARA CRIMINAL - TJAC;0.0;0.0;0.706;0.0;0.0;0.0;0.0;0.159;0.0;0.0;0.072;0.024;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;0.0;0.406;0.295;0.125;0.067;0.009;0.012;0.074;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.001;0.088;-1;-1
537;2ª VARA CRIMINAL - TJBA;0.002;0.0;0.955;0.0;0.002;0.0;0.0;0.03;0.0;0.0;0.009;0.002;0.0;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.003;0.0;0.167;0.612;0.002;0.066;0.057;0.009;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003;0.043;-1;-1
538;2ª VARA CRIMINAL - TJGO;0.0;0.0;0.678;0.0;0.011;0.0;0.0;0.194;0.0;0.0;0.0;0.016;0.101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.0;0.181;0.687;0.0;0.082;0.0;0.016;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;0.0;0.036;-1;-1
539;2ª VARA CRIMINAL - TJMG;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.458;0.0;0.025;0.394;0.116;0.004;0.0;0.004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018;-1;-1
540;2ª VARA CRIMINAL - TJMT;0.0;0.0;0.765;0.0;0.0;0.0;0.0;0.227;0.0;0.0;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.176;0.412;0.05;0.0;0.0;0.008;0.0;0.0;0.008;0.0;0.0;0.0;0.0;0.0;0.176;0.118;0.008;-1;-1
541;2ª VARA CRIMINAL - TJRN;0.0;0.0;0.809;0.0;0.0;0.0;0.0;0.004;0.0;0.0;0.179;0.006;0.001;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.262;0.541;0.046;0.003;0.002;0.0;0.134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.077;-1;-1
542;2ª VARA CRIMINAL - TJRO;0.0;0.0;0.813;0.0;0.001;0.0;0.0;0.13;0.0;0.0;0.036;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.0;0.446;0.187;0.014;0.032;0.086;0.001;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.148;0.005;0.069;-1;-1
543;2ª VARA CRIMINAL - TJRR;0.0;0.0;0.971;0.0;0.0;0.0;0.0;0.013;0.0;0.0;0.01;0.004;0.001;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.01;0.001;0.26;0.609;0.015;0.024;0.0;0.007;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.109;-1;-1
544;2ª VARA CRIMINAL - TRAMANDAÍ - TJRS;0.0;0.0;0.979;0.0;0.0;0.0;0.0;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.866;0.113;0.0;0.0;0.0;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006;-1;-1
545;2ª VARA CRIMINAL DA CAPITAL - TJAL;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.275;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.003;-1;-1
546;2ª VARA CRIMINAL DA CAPITAL - TJAM;0.0;0.0;0.657;0.0;0.0;0.0;0.0;0.019;0.0;0.0;0.022;0.283;0.003;0.0;0.0;0.016;0.0;0.0;0.0;0.0;0.0;0.118;0.0;0.131;0.713;0.0;0.025;0.0;0.0;0.006;0.0;0.003;0.0;0.0;0.003;0.0;0.0;0.0;0.0;0.021;-1;-1
547;2ª VARA CRIMINAL DA COMARCA DE OLINDA - TJPE;0.0;0.0;0.965;0.0;0.0;0.0;0.0;0.024;0.0;0.0;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012;0.0;0.435;0.482;0.059;0.0;0.0;0.0;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011;-1;-1
548;2ª VARA CRIMINAL DE BELÉM - TJPA;0.0;0.0;0.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.217;0.0;0.15;0.6;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;-1;-1
549;2ª VARA CRIMINAL DE CASTANHAL - TJPA;0.0;0.0;0.902;0.0;0.0;0.0;0.0;0.076;0.0;0.0;0.0;0.022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.098;0.0;0.304;0.391;0.0;0.0;0.011;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.185;0.0;0.006;-1;-1
550;2ª VARA CRIMINAL DE MACAPÁ - TJAP;0.0;0.0;0.908;0.0;0.0;0.0;0.0;0.091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.023;0.0;0.083;0.671;0.05;0.004;0.0;0.005;0.0;0.165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.084;-1;-1
551;2ª VARA CRIMINAL DE MARABÁ - TJPA;0.0;0.0;0.905;0.0;0.0;0.0;0.0;0.024;0.0;0.0;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;0.0;0.333;0.512;0.012;0.012;0.0;0.0;0.083;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.012;0.0;0.005;-1;-1
552;2ª VARA CRIMINAL DE PARNAÍBA - TJPI;0.0;0.0;0.694;0.0;0.0;0.0;0.0;0.047;0.0;0.0;0.176;0.051;0.017;0.0;0.0;0.016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.234;0.559;0.004;0.001;0.0;0.023;0.176;0.0;0.0;0.0;0.0;0.003;0.0;0.0;0.0;0.0;0.046;-1;-1
553;2ª VARA CRIMINAL DE SANTANA - TJAP;0.0;0.0;0.767;0.0;0.0;0.0;0.0;0.215;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.016;0.0;0.0;0.0;0.039;0.0;0.084;0.721;0.058;0.02;0.0;0.003;0.028;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.041;0.0;0.045;-1;-1
554;2ª VARA CRIMINAL DE SÃO JOSÉ DE RIBAMAR - TJMA;0.0;0.0;0.957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043;0.886;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;3;3
555;2ª VARA CRIMINAL DO TRIBUNAL DO JÚRI - TJRR;0.0;0.0;0.936;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.0;0.0;0.004;0.0;0.119;0.754;0.0;0.023;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032;-1;-1
556;2ª VARA CÍVEL  - ESTEIO - TJRS;0.351;0.0;0.018;0.0;0.456;0.0;0.018;0.0;0.0;0.0;0.088;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.0;0.0;0.0;0.474;0.0;0.456;0.0;0.0;0.035;0.0;0.0;0.004;-1;-1
557;2ª VARA CÍVEL - COMARCA DA CAPITAL - SDCR - TJMT;0.0;0.0;0.0;0.0;0.667;0.0;0.0;0.0;0.0;0.013;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.933;0.0;0.0;0.0;0.0;0.013;0.0;0.0;0.005;-1;-1
558;2ª VARA CÍVEL - NOVO HAMBURGO - TJRS;0.158;0.011;0.0;0.0;0.645;0.0;0.082;0.0;0.0;0.005;0.082;0.0;0.016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.585;0.0;0.328;0.055;0.0;0.027;0.0;0.0;0.012;-1;-1
559;2ª VARA CÍVEL - OURO PRETO DO OESTE - TJRO;0.02;0.463;0.0;0.0;0.254;0.0;0.045;0.0;0.0;0.0;0.144;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.955;0.0;0.045;0.0;0.0;0.0;0.0;0.0;0.013;-1;-1
560;2ª VARA CÍVEL - SANTA MARIA - TJRS;0.007;0.0;0.0;0.0;0.752;0.0;0.159;0.0;0.0;0.0;0.083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.621;0.0;0.359;0.0;0.0;0.0;0.0;0.0;0.009;-1;-1
561;2ª VARA CÍVEL - SAPUCAIA DO SUL - TJRS;0.54;0.035;0.0;0.0;0.274;0.0;0.027;0.0;0.0;0.0;0.071;0.0;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31;0.0;0.673;0.0;0.0;0.018;0.0;0.0;0.007;-1;-1
562;2ª VARA CÍVEL - TAQUARA - TJRS;0.4;0.071;0.0;0.0;0.286;0.0;0.057;0.0;0.0;0.0;0.114;0.0;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.386;0.0;0.571;0.0;0.0;0.014;0.0;0.0;0.004;-1;-1
563;2ª VARA CÍVEL - TJAC;0.04;0.002;0.0;0.002;0.683;0.0;0.069;0.0;0.0;0.011;0.177;0.0;0.015;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.543;0.0;0.385;0.043;0.0;0.028;0.0;0.0;0.36;-1;-1
564;2ª VARA CÍVEL - TJGO;0.016;0.008;0.0;0.0;0.501;0.0;0.164;0.0;0.0;0.007;0.269;0.0;0.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.71;0.003;0.281;0.004;0.001;0.0;0.0;0.0;0.046;-1;-1
565;2ª VARA CÍVEL - TJMG;0.013;0.001;0.0;0.0;0.965;0.0;0.0;0.0;0.0;0.0;0.016;0.0;0.004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.479;0.0;0.51;0.006;0.0;0.004;0.0;0.0;0.151;-1;-1
566;2ª VARA CÍVEL - TJPI;0.034;0.0;0.0;0.011;0.289;0.002;0.014;0.02;0.0;0.002;0.452;0.005;0.139;0.0;0.0;0.009;0.023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.566;0.0;0.13;0.148;0.009;0.143;0.005;0.0;0.029;-1;-1
567;2ª VARA CÍVEL - TJRN;0.005;0.001;0.0;0.001;0.584;0.0;0.094;0.0;0.0;0.0;0.309;0.0;0.002;0.0;0.0;0.0;0.0;0.001;0.004;0.0;0.263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.204;0.02;0.0;0.013;0.0;0.0;0.07;-1;-1
568;2ª VARA CÍVEL - TJRO;0.114;0.0;0.0;0.0;0.505;0.0;0.081;0.0;0.0;0.007;0.228;0.0;0.065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.655;0.0;0.303;0.026;0.0;0.016;0.0;0.0;0.02;-1;-1
569;2ª VARA CÍVEL - TJRR;0.008;0.002;0.0;0.0;0.525;0.0;0.194;0.0;0.0;0.004;0.254;0.0;0.013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.781;0.003;0.171;0.025;0.0;0.02;0.0;0.0;0.232;-1;-1
570;2ª VARA CÍVEL DA CAPITAL - TJAL;0.0;0.02;0.0;0.0;0.399;0.0;0.034;0.0;0.0;0.0;0.514;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.811;0.0;0.047;0.142;0.0;0.0;0.0;0.0;0.01;-1;-1
571;2ª VARA CÍVEL DA CAPITAL - TJPB;0.0;0.0;0.0;0.0;0.782;0.0;0.081;0.0;0.0;0.0;0.11;0.0;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.746;0.0;0.242;0.003;0.0;0.009;0.0;0.0;0.022;4;4
572;2ª VARA CÍVEL DA COMARCA DE ABREU E LIMA - TJPE;0.344;0.0;0.0;0.0;0.366;0.0;0.046;0.0;0.0;0.061;0.137;0.0;0.031;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.565;0.0;0.42;0.0;0.0;0.015;0.0;0.0;0.008;-1;-1
573;2ª VARA CÍVEL DA COMARCA DE AFOGADOS DA INGAZEIRA - TJPE;0.222;0.0;0.0;0.0;0.641;0.0;0.0;0.0;0.0;0.0;0.033;0.0;0.105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81;0.0;0.163;0.013;0.0;0.013;0.0;0.0;0.01;-1;-1
574;2ª VARA CÍVEL DA COMARCA DE ARARIPINA - TJPE;0.097;0.006;0.006;0.0;0.793;0.0;0.013;0.0;0.0;0.0;0.034;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.693;0.0;0.288;0.006;0.0;0.006;0.0;0.0;0.021;-1;-1
575;2ª VARA CÍVEL DA COMARCA DE ARCOVERDE - TJPE;0.165;0.015;0.0;0.0;0.592;0.0;0.023;0.0;0.0;0.0;0.135;0.0;0.069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.385;0.0;0.588;0.0;0.0;0.027;0.0;0.0;0.017;-1;-1
576;2ª VARA CÍVEL DA COMARCA DE BELO JARDIM - TJPE;0.465;0.051;0.0;0.0;0.352;0.0;0.017;0.0;0.0;0.0;0.101;0.0;0.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.282;0.006;0.693;0.014;0.0;0.006;0.0;0.0;0.023;-1;-1
577;2ª VARA CÍVEL DA COMARCA DE CABO DE SANTO AGOSTINHO - TJPE;0.0;0.083;0.0;0.0;0.667;0.0;0.028;0.0;0.0;0.0;0.194;0.0;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.694;0.0;0.278;0.0;0.0;0.028;0.0;0.0;0.005;-1;-1
578;2ª VARA CÍVEL DA COMARCA DE CAMARAGIBE - TJPE;0.379;0.008;0.0;0.0;0.484;0.001;0.012;0.0;0.0;0.023;0.085;0.0;0.007;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.498;0.0;0.475;0.024;0.0;0.002;0.0;0.0;0.164;-1;-1
579;2ª VARA CÍVEL DA COMARCA DE CARPINA - TJPE;0.397;0.0;0.0;0.0;0.419;0.0;0.017;0.0;0.0;0.022;0.133;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.461;0.003;0.519;0.014;0.0;0.003;0.0;0.0;0.023;-1;-1
580;2ª VARA CÍVEL DA COMARCA DE CARUARU - TJPE;0.0;0.015;0.0;0.0;0.716;0.0;0.142;0.0;0.0;0.015;0.112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.806;0.0;0.134;0.03;0.0;0.03;0.0;0.0;0.009;-1;-1
581;2ª VARA CÍVEL DA COMARCA DE GARANHUNS - TJPE;0.0;0.027;0.0;0.0;0.615;0.0;0.149;0.0;0.0;0.0;0.169;0.0;0.041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.811;0.0;0.128;0.041;0.0;0.02;0.0;0.0;0.01;-1;-1
582;2ª VARA CÍVEL DA COMARCA DE GOIANA - TJPE;0.126;0.0;0.009;0.0;0.498;0.0;0.033;0.0;0.0;0.009;0.251;0.0;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.549;0.009;0.433;0.0;0.0;0.0;0.0;0.0;0.014;-1;-1
583;2ª VARA CÍVEL DA COMARCA DE GRAVATÁ - TJPE;0.434;0.0;0.0;0.0;0.336;0.0;0.041;0.0;0.0;0.0;0.098;0.0;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34;0.008;0.594;0.033;0.0;0.025;0.0;0.0;0.016;-1;-1
584;2ª VARA CÍVEL DA COMARCA DE IPOJUCA - TJPE;0.0;0.0;0.0;0.0;0.863;0.0;0.041;0.0;0.0;0.0;0.096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.808;0.0;0.151;0.041;0.0;0.0;0.0;0.0;0.009;4;4
585;2ª VARA CÍVEL DA COMARCA DE JABOATÃO DOS GUARARAPES - TJPE;0.0;0.0;0.0;0.0;0.805;0.0;0.098;0.0;0.0;0.0;0.098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.65;0.0;0.301;0.049;0.0;0.0;0.0;0.0;0.008;-1;-1
586;2ª VARA CÍVEL DA COMARCA DE LIMOEIRO - TJPE;0.269;0.0;0.0;0.0;0.428;0.0;0.008;0.0;0.0;0.005;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.556;0.0;0.418;0.005;0.0;0.021;0.0;0.0;0.024;-1;-1
587;2ª VARA CÍVEL DA COMARCA DE OLINDA - TJPE;0.0;0.005;0.0;0.0;0.611;0.003;0.06;0.0;0.0;0.0;0.319;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.474;0.0;0.195;0.191;0.0;0.14;0.0;0.0;0.04;-1;-1
588;2ª VARA CÍVEL DA COMARCA DE PALMARES - TJPE;0.135;0.0;0.0;0.0;0.506;0.0;0.067;0.0;0.0;0.0;0.202;0.0;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.461;0.0;0.382;0.09;0.0;0.067;0.0;0.0;0.006;-1;-1
589;2ª VARA CÍVEL DA COMARCA DE PAULISTA - TJPE;0.0;0.01;0.0;0.0;0.819;0.0;0.069;0.0;0.0;0.0;0.093;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.716;0.0;0.265;0.0;0.0;0.02;0.0;0.0;0.013;4;4
590;2ª VARA CÍVEL DA COMARCA DE PESQUEIRA - TJPE;0.365;0.009;0.0;0.0;0.365;0.0;0.109;0.0;0.0;0.0;0.118;0.0;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.474;0.0;0.517;0.009;0.0;0.0;0.0;0.0;0.014;-1;-1
591;2ª VARA CÍVEL DA COMARCA DE SALGUEIRO - TJPE;0.176;0.0;0.137;0.0;0.504;0.0;0.071;0.0;0.0;0.015;0.092;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.041;0.056;0.041;0.0;0.0;0.0;0.0;0.0;0.489;0.0;0.366;0.005;0.0;0.003;0.0;0.0;0.026;-1;-1
592;2ª VARA CÍVEL DA COMARCA DE SANTA CRUZ DO CAPIBARIBE - TJPE;0.138;0.0;0.0;0.0;0.56;0.0;0.174;0.0;0.0;0.018;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.679;0.0;0.266;0.037;0.0;0.018;0.0;0.0;0.007;-1;-1
593;2ª VARA CÍVEL DA COMARCA DE SERRA TALHADA - TJPE;0.18;0.021;0.0;0.0;0.484;0.0;0.086;0.0;0.0;0.006;0.05;0.0;0.174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.543;0.003;0.425;0.0;0.0;0.029;0.0;0.0;0.022;-1;-1
594;2ª VARA CÍVEL DE AÇAILANDIA  - TJMA;0.011;0.0;0.0;0.003;0.78;0.0;0.048;0.0;0.0;0.016;0.122;0.0;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.507;0.0;0.467;0.021;0.0;0.005;0.0;0.0;0.024;-1;-1
