Orgao;2;268;268:269;268:277;268:281;268:284;268:303;268:308;268:316;268:334;268:412;2:1106;2:12133;2:158;2:175;2:197;2:214;385;385:406
1ª vara civel da comarca de maracanau - tjce (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;9;0;0;1;0;0
1ª vara civel da comarca de sobral - tjce (g1);0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1ª vara civel diamantino - tjmt (g1);1;0;0;0;0;0;0;0;0;0;0;30;0;30;0;0;0;0;0
1ª vara civel tangará da serra - tjmt (g1);0;0;0;0;0;0;0;0;0;0;0;20;0;17;0;0;0;0;0
1ª vara civel varzea grande - tjmt (g1);1;0;0;0;0;0;0;0;0;0;0;11;0;9;0;0;0;0;0
1ª vara colider - tjmt (g1);0;0;0;0;2;0;0;0;0;0;0;27;0;28;0;0;0;0;0
1ª vara comodoro - tjmt (g1);0;0;0;2;1;0;0;0;0;0;0;9;0;2;0;0;0;0;0
1ª vara criminal (crimes dolosos contra a vida) - tjgo (g1);0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal (crimes dolosos contra a vida, pres trib juri e execuções penais) - tjgo (g1);0;10;0;24;140;0;9;0;2;17;0;0;0;0;0;0;0;30;2
1ª vara criminal (crimes dolosos contra a vida, presidência do tribunal de juri e execução penal) - tjgo (g1);0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal (crimes dolosos contra a vida, presidência do tribunal do júri e execução penal) - tjgo (g1);0;5;0;37;174;0;12;16;2;0;0;0;0;0;0;0;0;29;0
1ª vara criminal (crimes dolosos contra a vida, presidência do tribunal do júri e execuções penais) - tjgo (g1);0;0;0;2;149;0;0;2;0;0;0;0;0;0;0;0;0;3;0
1ª vara criminal (crimes dolosos contra vida, presidência do tribunal do júri e execução penal) - tjgo (g1);0;1;0;25;70;0;9;0;2;2;0;0;0;0;0;0;0;1;0
1ª vara criminal (crimes em geral e execuções penais) - tjgo (g1);0;12;0;51;164;0;27;4;4;9;0;0;0;0;0;0;0;47;3
1ª vara criminal - alta floresta do oeste - tjro (g1);0;0;0;15;23;0;0;3;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal - alvorada - tjrs (g1);0;0;0;0;27;3;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - alvorada do oeste - tjro (g1);0;0;0;17;76;0;1;4;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - ariquemes - tjro (g1);0;0;0;159;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - bagé - tjrs (g1);0;0;0;0;18;2;0;0;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal - bento gonçalves - tjrs (g1);0;0;0;0;14;13;0;0;3;4;0;0;0;0;0;0;0;0;0
1ª vara criminal - cachoeira do sul - tjrs (g1);0;0;0;0;15;6;0;0;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal - cachoeirinha - tjrs (g1);0;0;0;0;18;10;0;0;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal - cacoal - fórum - tjro (g1);0;0;0;105;193;4;4;41;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal - canoas - tjrs (g1);0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - carazinho - tjrs (g1);0;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - caxias do sul - tjrs (g1);0;0;0;4;47;0;0;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal - colorado do oeste - tjro (g1);0;0;0;75;25;1;0;5;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - costa marques - tjro (g1);0;0;0;40;26;0;1;13;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - cruz alta - tjrs (g1);0;0;0;0;14;0;0;0;0;5;0;0;0;0;0;0;0;0;0
1ª vara criminal - erechim - tjrs (g1);0;0;0;0;29;14;0;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal - gravataí - tjrs (g1);0;0;0;0;13;4;0;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal - guajará-mirim - tjro (g1);0;0;0;96;73;3;3;5;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal - guaíba - tjrs (g1);0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - ijuí - tjrs (g1);0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - jaru - tjro (g1);0;0;0;53;93;3;6;8;0;0;0;0;0;0;0;0;0;2;0
1ª vara criminal - ji-paraná - tjro (g1);0;0;0;69;100;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - lajeado - tjrs (g1);0;0;0;0;9;1;0;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal - machadinho do oeste - tjro (g1);0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - montenegro - tjrs (g1);0;0;0;0;15;6;0;0;0;11;0;1;0;1;0;0;0;0;0
1ª vara criminal - nova brasilândia do oeste - tjro (g1);0;0;0;7;23;0;0;2;0;0;0;0;0;0;0;0;0;2;0
1ª vara criminal - ouro preto do oeste - tjro (g1);0;0;0;25;173;0;0;0;0;0;0;0;0;0;0;0;0;8;0
1ª vara criminal - passo fundo - tjrs (g1);0;0;0;2;90;6;0;0;0;0;3;0;0;0;0;0;0;0;0
1ª vara criminal - pelotas - tjrs (g1);0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - pimenta bueno - tjro (g1);0;0;0;28;144;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1ª vara criminal - porto velho - fórum criminal - tjro (g1);0;0;0;43;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - presidente médici - tjro (g1);0;0;0;88;60;2;0;2;0;0;0;0;0;0;0;0;0;2;0
1ª vara criminal - rio grande - tjrs (g1);0;0;0;1;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - rolim de moura - tjro (g1);0;0;0;68;58;0;0;36;0;3;0;0;0;1;0;0;0;4;0
1ª vara criminal - santa cruz do sul - tjrs (g1);0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal - santa luzia do oeste - tjro (g1);0;0;0;8;44;0;0;8;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal - santa maria - tjrs (g1);0;0;0;0;37;9;0;0;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal - santa rosa - tjrs (g1);0;0;0;0;8;1;0;0;0;7;0;0;0;0;0;0;0;0;0
1ª vara criminal - santo ângelo - tjrs (g1);0;0;0;0;4;3;0;0;1;3;0;0;0;0;0;0;0;0;0
1ª vara criminal - sapucaia do sul - tjrs (g1);0;0;0;0;40;11;0;1;0;7;0;0;0;0;0;0;0;0;0
1ª vara criminal - são borja - tjrs (g1);0;0;0;0;17;1;0;2;0;3;1;0;0;1;0;0;0;0;0
1ª vara criminal - são francisco do guaporé - tjro (g1);0;0;0;26;16;0;0;5;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - são leopoldo - tjrs (g1);0;0;0;0;58;16;0;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal - são miguel do guaporé - tjro (g1);0;0;0;38;45;0;0;2;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - taquara - tjrs (g1);1;0;0;0;15;0;0;0;0;7;0;2;0;27;0;0;0;0;0
1ª vara criminal - tjac (g1);0;9;0;528;1172;4;59;9;11;506;2;0;0;0;0;0;0;3;4
1ª vara criminal - tjba (g1);0;23;2;488;1425;24;119;44;23;110;4;1;0;0;0;0;0;54;2
1ª vara criminal - tjgo (g1);0;6;0;93;278;0;24;1;4;37;0;0;0;0;0;0;0;1;0
1ª vara criminal - tjmg (g1);0;124;0;4;103;64;1;0;4;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - tjmt (g1);0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - tjpi (g1);0;0;0;30;290;0;3;0;0;0;0;0;0;0;0;0;0;63;0
1ª vara criminal - tjrn (g1);0;1;0;187;425;96;1;0;0;65;0;0;0;0;0;0;0;165;0
1ª vara criminal - tjro (g1);0;5;0;728;202;21;51;63;13;58;0;0;0;0;0;0;0;4;0
1ª vara criminal - tjrr (g1);0;5;0;472;1165;12;16;0;11;121;1;0;0;0;0;0;0;1;0
1ª vara criminal - torres - tjrs (g1);0;0;0;0;57;8;0;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal - tramandaí - tjrs (g1);0;0;0;0;170;12;0;0;4;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - uruguaiana - tjrs (g1);0;0;0;0;6;0;0;0;1;2;3;0;0;0;0;0;0;0;0
1ª vara criminal - vacaria - tjrs (g1);0;0;0;0;40;1;0;0;0;5;0;0;0;0;0;0;0;0;0
1ª vara criminal - viamão - tjrs (g1);0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal - vilhena - tjro (g1);0;0;0;69;93;2;0;0;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal barra do garças - tjmt (g1);0;0;0;1;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal caceres - tjmt (g1);0;0;0;5;27;6;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da capital - tjam (g1);0;5;0;23;279;0;2;0;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal da capital - tjpe (g1);0;0;0;31;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de araranguá - tjsc (g1);0;0;0;0;19;5;0;0;0;4;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de balneário camboriú - tjsc (g1);0;0;0;4;12;0;0;0;2;25;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de belo horizonte - tjmg (g1);0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de betim - tjmg (g1);0;0;0;20;2;0;4;0;0;8;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de blumenau - tjsc (g1);0;4;0;4;11;0;0;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de cabo de santo agostinho - tjpe (g1);0;0;0;46;129;2;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de camaragibe - tjpe (g1);0;0;0;6;38;2;0;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de caruaru - tjpe (g1);0;0;0;37;59;16;0;0;0;0;0;0;0;0;0;0;0;2;0
1ª vara criminal da comarca de chapecó - tjsc (g1);0;0;0;6;37;3;0;0;0;12;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de contagem - tjmg (g1);0;0;0;11;3;0;2;0;0;24;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de crato - tjce (g1);0;0;0;2;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de criciúma - tjsc (g1);0;0;0;11;14;7;0;0;1;6;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de divinópolis - tjmg (g1);0;0;0;7;5;1;0;0;0;4;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de florianópolis - tjsc (g1);0;0;0;20;17;1;1;0;0;5;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de fortaleza - tjce (g1);0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de garanhuns - tjpe (g1);0;0;0;60;293;0;4;10;0;16;0;0;0;0;0;0;0;2;0
1ª vara criminal da comarca de governador valadares - tjmg (g1);0;0;0;55;23;5;0;0;0;10;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de ipatinga - tjmg (g1);0;0;0;27;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de itajaí - tjsc (g1);0;1;0;32;46;1;0;0;0;10;1;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de jaboatão dos guararapes - tjpe (g1);0;0;0;63;130;10;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de jaraguá do sul - tjsc (g1);0;0;0;1;10;1;0;0;0;17;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de joinville - tjsc (g1);0;0;0;19;19;5;2;0;2;0;1;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de juazeiro do norte - tjce (g1);0;0;0;2;20;0;0;0;0;5;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de juiz de fora - tjmg (g1);0;0;0;10;10;9;2;0;0;10;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de lages - tjsc (g1);0;0;0;5;9;0;0;0;0;4;0;0;0;0;0;0;0;1;0
1ª vara criminal da comarca de maracanau - tjce (g1);0;1;0;0;26;0;3;0;0;1;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de montes claros - tjmg (g1);0;0;0;92;10;0;16;0;1;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de olinda - tjpe (g1);0;0;0;30;113;2;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de palhoça - tjsc (g1);0;0;0;58;14;1;0;0;1;3;1;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de paulista - tjpe (g1);0;0;0;88;204;12;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de petrolina - tjpe (g1);0;4;0;46;50;0;0;0;0;4;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de sobral - tjce (g1);0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de são josé - tjsc (g1);0;0;0;6;13;1;0;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de teófilo otôni - tjmg (g1);0;0;0;34;2;0;2;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de tubarão - tjsc (g1);0;1;0;16;19;1;0;0;3;4;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de uberaba - tjmg (g1);0;0;0;60;19;4;1;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de uberlândia - tjmg (g1);0;0;0;30;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da comarca de vitória de santo antão - tjpe (g1);0;0;0;59;225;6;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal da justiça militar - tjrr (g1);0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal de altamira - tjpa (g1);0;7;0;57;7;0;1;0;0;1;0;0;0;0;0;0;0;3;0
1ª vara criminal de ananindeua - tjpa (g1);0;26;0;1094;591;50;384;2;5;12;0;1;0;0;0;0;0;0;2
1ª vara criminal de açailândia - tjma (g1);0;1;0;76;308;12;8;6;3;51;0;0;0;0;0;0;0;2;0
1ª vara criminal de belém - tjpa (g1);0;9;0;7;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1ª vara criminal de castanhal - tjpa (g1);0;6;0;31;45;0;0;0;0;3;0;0;0;0;0;0;0;2;0
1ª vara criminal de imperatriz - tjma (g1);0;1;0;6;26;8;5;0;1;8;0;0;0;0;0;0;0;0;0
1ª vara criminal de macapá - tjap (g1);0;17;2;103;472;39;10;0;2;0;153;0;0;0;0;0;0;0;0
1ª vara criminal de marabá - tjpa (g1);0;6;0;32;30;1;1;0;1;7;0;0;0;0;0;0;0;0;0
1ª vara criminal de ouro preto (meio aberto) - tjro (g1);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1ª vara criminal de parauapebas - tjpa (g1);0;0;0;122;21;0;0;1;0;20;0;0;0;0;0;0;0;3;0
1ª vara criminal de parnaíba - tjpi (g1);0;0;0;76;477;0;14;6;6;0;0;0;0;0;0;0;0;121;0
1ª vara criminal de rondon do pará - tjpa (g1);0;1;0;13;5;2;0;4;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal de santana - tjap (g1);0;12;0;87;812;74;11;0;4;14;0;0;0;0;0;0;2;18;0
1ª vara criminal de santarém - tjpa (g1);0;3;0;48;58;1;0;1;0;7;0;0;0;0;0;0;0;0;0
1ª vara criminal de são josé de ribamar - tjma (g1);0;0;0;2;59;8;0;0;1;1;0;0;0;0;0;0;0;9;0
1ª vara criminal de são luís - tjma (g1);0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal de teresina - tjpi (g1);0;2;0;22;631;0;6;0;8;26;0;0;0;0;0;0;0;0;0
1ª vara criminal de timon - tjma (g1);0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal distrital de icoaraci - tjpa (g1);0;3;0;5;52;1;0;4;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal do distrito judiciário da zona norte (inativo) - tjrn (g1);0;0;0;4;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal do distrito judiciário da zona sul (inativo) - tjrn (g1);0;0;0;2;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal do foro central - porto alegre - tjrs (g1);0;0;0;0;35;8;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal do foro regional partenon - porto alegre - tjrs (g1);0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal do tribunal do júri - tjrr (g1);0;1;0;64;458;0;9;0;4;34;0;0;0;0;0;0;0;0;0
1ª vara criminal dos crimes apenados com detenção e crimes de trânsito - tjgo (g1);0;0;0;19;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal dos crimes dolosos contra a vida e tribunal do júri - tjgo (g1);0;0;0;6;27;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal dos crimes punidos com reclusão - tjgo (g1);0;0;0;29;86;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e acidentes do trabalho - tjmg (g1);0;36;0;0;37;5;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude - tjmg (g1);0;36;0;2;19;11;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de araguari - tjmg (g1);0;0;0;9;17;0;0;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de itabira - tjmg (g1);0;0;0;12;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de patos de minas - tjmg (g1);0;0;0;13;2;5;0;0;0;4;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de ponte nova - tjmg (g1);0;0;0;8;3;4;0;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de pouso alegre - tjmg (g1);0;0;0;9;5;1;2;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de sete lagoas - tjmg (g1);0;0;0;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de são joão del-rei - tjmg (g1);0;0;0;4;6;0;2;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e da juventude da comarca de vespasiano - tjmg (g1);0;0;0;13;13;2;0;0;0;14;0;0;0;0;0;0;0;0;0
1ª vara criminal e da infância e juventude - tjmg (g1);0;11;0;14;41;3;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e de execuções criminais - tjmg (g1);0;32;0;0;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e de execuções criminais da comarca de barbacena - tjmg (g1);0;0;0;29;12;0;0;0;0;0;0;0;0;0;0;0;0;12;0
1ª vara criminal e de execuções criminais da comarca de poços de caldas - tjmg (g1);0;0;0;16;21;0;3;0;0;4;0;0;0;0;0;0;0;8;0
1ª vara criminal e de execuções penais - tjmg (g1);0;61;0;0;36;20;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e de execuções penais da comarca de araxá - tjmg (g1);0;0;0;18;11;0;0;0;0;4;0;0;0;0;0;0;0;0;0
1ª vara criminal e de execuções penais da comarca de caratinga - tjmg (g1);0;0;0;9;7;0;1;0;0;2;0;0;0;0;0;0;0;5;0
1ª vara criminal e de execuções penais da comarca de frutal - tjmg (g1);0;0;0;13;5;0;1;0;0;2;0;0;0;0;0;0;0;0;0
1ª vara criminal e de execuções penais da comarca de nova serrana - tjmg (g1);0;0;0;25;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0
1ª vara criminal e de execuções penais da comarca de santa luzia - tjmg (g1);0;0;0;13;10;1;0;0;0;12;0;0;0;0;0;0;0;2;0
1ª vara criminal e de execuções penais da comarca de varginha - tjmg (g1);0;0;0;26;0;0;0;0;0;6;0;0;0;0;0;0;0;6;0
1ª vara criminal e de violência doméstica e familiar contra a mulher da comarca de conselheiro lafaiete - tjmg (g1);0;0;0;4;4;0;1;0;4;6;0;0;0;0;0;0;0;0;0
1ª vara criminal e do tribunal do juri da comarca de ribeirão das neves - tjmg (g1);0;0;0;34;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e do tribunal do júri - tjmg (g1);0;2;0;21;12;2;0;0;1;0;0;0;0;0;0;0;0;0;0
1ª vara criminal e jecrime do foro regional restinga - porto alegre - tjrs (g1);0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal rondonópolis - tjmt (g1);0;1;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal sinop - tjmt (g1);0;0;0;10;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal varzea grande - tjmt (g1);0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal, da infância e da juventude e cartas precatórias da comarca de formiga - tjmg (g1);0;0;0;13;1;1;0;0;0;8;0;0;0;0;0;0;0;4;0
1ª vara criminal, da infância e da juventude e de cartas precatórias criminais da comarca de ibirité - tjmg (g1);0;0;0;19;4;0;0;0;0;18;0;0;0;0;0;0;0;0;0
1ª vara criminal, da infância e da juventude e de cartas precatórias criminais da comarca de três corações - tjmg (g1);0;0;0;5;6;4;0;0;2;6;0;0;0;0;0;0;0;0;0
1ª vara criminal, da infância e da juventude e de ex.fiscais - tjmg (g1);0;3;0;0;8;1;0;0;0;0;0;0;0;46;0;0;0;0;0
1ª vara criminal, da infância e da juventude e de execuções fiscais da comarca de lavras - tjmg (g1);0;0;0;10;4;3;0;0;0;2;0;0;0;66;0;0;0;0;0
1ª vara criminal, da infância e da juventude e de execuções fiscais da comarca de manhuaçu - tjmg (g1);0;0;0;3;1;1;0;0;0;0;0;0;0;40;0;0;0;0;0
1ª vara criminal, de atos infracionais da infância e da juventude e de cartas precatórias criminais da comarca de alfenas - tjmg (g1);0;0;0;15;2;0;2;0;0;12;0;0;0;0;0;0;0;0;0
1ª vara criminal, de menores e cartas precatórias - tjmg (g1);0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal, de menores e cartas precatórias criminais - tjmg (g1);0;2;0;0;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal, de precatórias criminais e de execução penal da comarca de passos - tjmg (g1);0;0;0;10;12;0;0;0;0;26;0;0;0;0;0;0;0;6;0
1ª vara criminal, do júri e de execuções penais - tjmg (g1);0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal, do júri e de execuções penais da comarca de itaúna - tjmg (g1);0;0;0;18;7;0;0;0;0;6;0;0;0;0;0;0;0;4;0
1ª vara criminal, precatórias criminais e de execução penal - tjmg (g1);0;21;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara criminal,da infância e juventude e execuções fiscais - tjmg (g1);0;4;0;0;2;1;0;0;0;0;0;1;0;22;0;0;0;0;0
1ª vara criminal,infância e juventude, precatórias criminais - tjmg (g1);0;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0
1ª vara cível  - esteio - tjrs (g1);1;0;0;0;0;0;0;0;0;0;0;28;0;51;0;0;0;0;0
1ª vara cível  da comarca de camaquã - tjrs (g1);0;0;0;0;0;0;0;0;0;0;0;5;0;149;0;0;1;0;0
1ª vara cível (cível e da infância e da juventude) - tjgo (g1);0;0;0;0;0;0;0;0;0;0;0;128;2;58;0;0;1;0;0
1ª vara cível (cível, criminal - crimes em geral e execução penal, e da infância e da juventude) - tjgo (g1);0;0;0;6;6;0;0;0;0;0;0;3;0;1;0;0;0;10;0
1ª vara cível (cível, de família e sucessões, e da infância e da juventude) - tjgo (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;14;0;0;0;0;0
1ª vara cível (cível, de família, sucessões e da infância e da juventude) - tjgo (g1);0;0;0;0;0;0;0;0;0;0;0;30;0;8;0;0;0;0;0
1ª vara cível (especializada em fazenda pública) da comarca de passo fundo - tjrs (g1);1;0;0;0;0;0;0;0;0;0;0;9;1;148;0;0;0;0;0
1ª vara cível (inativo) - tjrn (g1);395;0;0;0;0;0;0;0;0;0;0;619;0;639;13;0;2;0;0
1ª vara cível - alegrete - tjrs (g1);7;0;0;0;0;0;0;0;0;0;0;22;0;32;0;0;1;0;0
1ª vara cível - alta floresta do oeste - tjro (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
1ª vara cível - alvorada - tjrs (g1);2;0;0;0;0;0;0;0;0;0;0;23;0;12;2;0;0;0;0
1ª vara cível - alvorada do oeste - tjro (g1);0;0;0;0;0;0;0;0;0;0;0;34;0;67;1;0;1;0;0
1ª vara cível - ariquemes - tjro (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;38;0;0;0;0;0
1ª vara cível - bagé - tjrs (g1);0;0;0;0;0;0;0;0;0;0;0;2;0;30;1;0;2;0;0
1ª vara cível - bento gonçalves - tjrs (g1);0;0;0;0;0;0;0;0;0;0;0;23;0;15;0;0;4;0;0
1ª vara cível - cachoeira do sul - tjrs (g1);1;0;0;0;0;0;0;0;0;0;0;11;0;14;0;0;0;0;0
1ª vara cível - cachoeirinha - tjrs (g1);3;0;0;0;0;0;0;0;0;0;0;24;0;54;0;0;0;0;0
1ª vara cível - cacoal - fórum - tjro (g1);0;0;0;0;0;0;0;0;0;0;0;33;0;24;0;0;0;0;0
1ª vara cível - camaquã - tjrs (g1);2;0;0;0;0;0;0;0;0;0;0;33;0;27;1;0;0;0;0
1ª vara cível - campo bom - tjrs (g1);5;0;0;0;0;0;0;0;0;0;0;26;0;19;2;0;0;0;0
1ª vara cível - canoas - tjrs (g1);3;0;0;0;0;0;0;0;0;0;0;120;0;61;6;0;0;0;0
1ª vara cível - capão da canoa - tjrs (g1);8;0;0;0;1;0;0;0;0;0;0;31;0;13;0;0;0;0;0
1ª vara cível - carazinho - tjrs (g1);3;0;0;0;0;0;0;0;0;0;0;9;0;3;0;0;0;0;0
1ª vara cível - caxias do sul - tjrs (g1);1;0;0;0;0;0;0;0;0;0;0;59;0;16;0;0;0;0;0
1ª vara cível - colorado do oeste - tjro (g1);0;0;0;0;0;0;0;0;0;0;0;10;0;14;1;0;0;0;0
1ª vara cível - comarca da capital - sdcr - tjmt (g1);0;0;0;0;0;0;0;0;0;0;0;18;0;5;0;0;24;0;0
1ª vara cível - costa marques - tjro (g1);0;0;0;0;0;0;0;0;0;0;0;6;0;91;0;0;0;0;0
